,,,,
really,"pravidlo""",,,28
role,role,,,17
Ryan,Ryane,,,7
recently,nedávno,,,12
raise,vyzdvihnout,,,6
related,p?íbuzný,,,5
requests,žádosti,,,7
rewarding,odm??ující,,,5
responsibility,odpov?dnost,,,11
regardless,bez ohledu na,,,5
reality,realita,,,5
reader-supported,podporované ?te?kou,,,3
receipt,ú?tenka,,,3
render,poskytnout,,,3
Remarkably,Pozoruhodn?,,,2
richardson,Richardson,,,2
ring,prsten,,,2
resources,zdroje,,,4
Ranay,Ranay,,,2
road,silnice,,,2
read,císt,,,3
relatable,p?íbuzný,,,1
relax,odpo?inout si,,,2
rock,Skála,,,7
registration,Registrace,,,1
relieving,ulevující,,,1
Remember,Pamatovat,,,9
raising,zvýšení,,,1
repeatedly,opakovan?,,,1
realized,uv?domil,,,2
reselling,p?eprodávat,,,1
reason,d?vod,,,2
run,b?h,,,3
repayments,splátky,,,1
race,závod,,,
racing,závod?ní,,,
rain,déš?,,,
range,rozsah,,,1
rapid,rychlý,,,1
rare,vzácný,,,1
raw,drsný,,,
reaching,dosahující,,,1
readers,?tená?i,,,2
reading,?tení,,,1
ready,p?ipraveno,,,3
real-time,reálný ?as,,,1
real-world,reálný sv?t,,,
Reap,Sklízet,,,
receive,dostávat,,,6
recent,nedávné,,,2
recipe,recept,,,
recognisable,rozpoznatelný,,,
recognize,uznat,,,
recommendations,doporucení,,,
recommends,doporu?uje,,,
record,záznam,,,4
recovering,zotavující se,,,
recovery,zotavení,,,
Recruitment,Nábor,,,
recuperation,zotavení,,,
recurring,opakující se,,,
redesigned,p?ed?laný,,,
reduce,snížit,,,4
reduction,redukce,,,
refer,odkazovat,,,
referred,odkazoval,,,
Refugee,Uprchlík,,,
regions,regionech,,,1
Regrade,P?ehodnotit,,,
Re-Grand,Re-Grand,,,
relationships,vztahy,,,
relayed,predány,,,
relentlessly,neúprosn?,,,
Reliability,Spolehlivost,,,
reliable,spolehlivý,,,
relief,úleva,,,
religions,náboženství,,,
relying,spoléhat se,,,
remains,zustává,,,
Remarkable,Pozoruhodný,,,
renewable,obnovitelný,,,
rented,pronajaté,,,
replica,replika,,,
report,zpráva,,,
Reporting,Hlášení,,,
represent,zastupovat,,,3
representation,reprezentace,,,
represented,zastoupená,,,
require,vyžadovat,,,1
required,Požadované,,,
Rescue,Zachránit,,,
research,výzkum,,,2
resolution,rozlišení,,,
resourcefulness,vynalézavost,,,
respectfully.,uctiv?.,,,
responders,respondenti,,,
responding,reagovat,,,
Response,Odezva,,,1
responses,odpov?di,,,
responsibly,zodpovedne,,,1
Restaurant,Restaurace,,,
resulted,vyplynulo,,,
results,Výsledek,,,
retailers,maloobchodníci,,,1
Retention,Udržení,,,
retrieval,vyhledávání,,,
Reusable,Znovu použitelný,,,
reuse,op?tovné použití,,,
reversible,reverzibilní,,,
review,Posouzení,,,11
reward,odm?na,,,
ribs,žebra,,,
rich,bohatý,,,
rider,jezdec,,,
rise,stoupat,,,1
rising,stoupající,,,
risk,riziko,,,1
RME,RME,,,
robotic,robotický,,,
robots,robot?,,,
rolled,válcované,,,1
roller,vále?ek,,,
rooftop,strecha,,,
roots,koreny,,,1
Roslyn,Roslyn,,,
routines,rutiny,,,
rows,?ádky,,,
RPCs,RPC,,,
recipients,p?íjemc?,,,3
residencies,rezidence,,,2
Ruben,Ruben,,,1
registered,registrovaný,,,1
readership,?tená?ství,,,1
rarely,z?ídka,,,1
roman,?ímský,,,1
Reid,Reid,,,1
Riley,Riley,,,3
recorded,zaznamenané,,,2
released,propušt?n,,,2
Rumors,Pov?sti,,,3
realizes,uv?domuje si,,,1
Ronstadt,Ronstadt,,,1
rabbit,králi?í,,,1
realizing,uv?domující si,,,1
reminded,p?ipomn?l,,,1
rats,krysy,,,10
rodents,hlodavec,,,1
remote,dálkový,,,1
Rindlaub,Rindlaub,,,9
right,že jo,,,3
removing,odstran?ní,,,1
reproduction,reprodukce,,,1
rustle,šust?ní,,,1
retrieved,získat,,,1
reproducing,rozmnožování,,,1
Ridge,H?bet,,,2
repeater,opakova?,,,1
repeatable,opakovatelný,,,1
recognition,uznání,,,2
reimagining,reimaginace,,,1
Rosa,Rosa,,,1
Rico,Rico,,,1
reviewers,recenzenti,,,3
ranging,v rozsahu,,,1
reimbursement,náhrada,,,1
reflects,odrážet,,,1
rebuilding,p?estavba,,,1
reputation,pov?st,,,2
reinvigorated,znovu oživen,,,1
Received,P?ijato,,,2
relevant,relevantní,,,1
relieved,uklidn?ný,,,1
relatively,pom?rn?,,,1
roommate,spolubydlící,,,1
rather,spíše,,,1
requirements,požadavky,,,1
return,vrátit se,,,5
refund,vrácení pen?z,,,1
Rocky,Rocky,,,1
roam,toulat se,,,1
recycling,recyklace,,,1
realistic,realistický,,,1
restaurants,restaurace,,,1
raised,zvednutý,,,1
ripple,vln?ní,,,1
recycled,recyklovaný,,,1
replacing,nahrazovat,,,1
recyclability,recyklovatelnost,,,1
reducing,snížení,,,1
remove,odstranit,,,1
revenue,p?íjmy,,,1
ROI,ROI,,,1
recognizing,poznávání,,,1
Resilience,Odolnost,,,8
reached,dosaženo,,,2
respects,respektuje,,,1
responsible,odpov?dný,,,2
resiliency,pružnost,,,1
regularly,pravideln?,,,1
