,,,,
sports,sportovní,,,43
started,zacala,,,20
since,od té doby,,,21
start,Start,,,14
safety,bezpecnost,,,10
stopped,zastavil,,,11
selecting,vybírání,,,10
solve,rešit,,,9
ShareEmail,ShareEmail,,,19
ShareLinkedIn,ShareLinkedIn,,,19
ShareTwitter,ShareTwitter,,,19
sitting,sedící,,,9
something,neco,,,10
support,"Podpera, podpora",,,22
show,ukázat,,,9
success,úspech,,,12
showing,ukazovat,,,7
second,druhý,,,8
sales,odbyt,,,6
selling,prodejní,,,13
seller,prodejce,,,6
social,sociální,,,12
spent,strávil,,,5
saying,rcení,,,7
Seattle,Seattle,,,5
senior,senior,,,5
side,bocní,,,7
single,singl,,,7
Sherman,Sherman,,,5
steal,ukrást,,,5
Stacy,Stacy,,,5
stakeholder,zú?astn?nou stranou,,,6
smartest,nejchyt?ejší,,,5
Stanford,Stanford,,,6
sculptures,sochy,,,5
starter,startér,,,5
served,sloužil,,,5
setting,nastavení,,,6
school,škola,,,12
store,obchod,,,8
successful,úspešný,,,4
series,série,,,15
Scholar,Ucenec,,,3
screen,obrazovka,,,4
send,poslat,,,6
sent,odesláno,,,5
shared,sdílené,,,3
smart,chytrý,,,5
smiling,usmívající se,,,3
software,software,,,5
step,krok,,,5
services,služby,,,6
shopping,nakupování,,,6
skilled,zru?ný,,,3
studying,studovat,,,6
science,V?da,,,5
smartphones,chytré telefony,,,3
sounds,zvuky,,,3
Storefront,Výloha,,,3
saw,vid?l,,,2
say,?íct,,,3
Service,Servis,,,9
Sheninger,Sheninger,,,2
stove,kamna,,,2
strategic,strategický,,,3
submit,P?edložit,,,2
Starkey,Hv?zdný klí?,,,2
stops,zastaví,,,2
stories,príbehy,,,4
Season,Sezóna,,,9
share,podíl,,,2
some,nejaký,,,9
safely,bezpe?n?,,,1
seemingly,zdánliv?,,,1
self-contained,sob?sta?ný,,,1
seriously,vážne,,,1
space,prostor,,,5
subscription,p?edplatné,,,1
safer,bezpecnejší,,,1
Scale,Merítko,,,4
shop,prodejna,,,3
stay,pobyt,,,1
sun,slunce,,,2
sustainable,udržitelného,,,3
standing,stojící,,,1
satin,satén,,,1
succeed,povést se,,,1
smoother,hladší,,,1
said:,?ekl:,,,1
serve,sloužit,,,2
set,soubor,,,3
several,nekolik,,,3
should,by mel,,,2
sold,prodáno,,,2
someone,nekdo,,,3
source,zdroj,,,6
such,takový,,,3
supporting,vedlejší,,,5
suport,podpora,,,1
soon,již brzy,,,1
shea,bambucké,,,1
skin,k?že,,,1
soaps,mýdla,,,1
specified,specifikováno,,,1
spikes,hroty,,,1
surprises,p?ekvapení,,,1
slow,pomalý,,,1
sake,saké,,,
Salon,Salon,,,
Salt,S?l,,,1
Samantha,Samantha,,,
same,stejný,,,1
Same-Day,Stejný den,,,2
sanitary,sanitární,,,
satisfaction,spokojenost,,,
sauce,omácka,,,
Savannah.,Savannah.,,,
Save,Uložit,,,
saved,uložené,,,
savings,úspory,,,
scalable,škálovatelné,,,1
Scandinavia,Skandinávie,,,
scheduled,naplánováno,,,
scheme,systém,,,
search,Vyhledávání,,,1
searched,hledali,,,
searching,vyhledávání,,,
seasoned,ostrílený,,,
seating,místa k sezení,,,1
Seattle-based,Se sídlem v Seattlu,,,
secondary,sekundární,,,
sector,sektor,,,
secured,zajišteno,,,1
securely,bezpecne,,,1
security,bezpe?nostní,,,
seed,semínko,,,
seeing,videní,,,
seeking,hledající,,,
seemed,zdálo se,,,
seen,vid?l,,,2
selection,výber,,,
self-critical,sebekritický,,,
self-discovery,objevování sebe sama,,,
self-fulfilling,sebenaplnující,,,
self-sufficiency,sobestacnost,,,
sense,smysl,,,1
sensors,senzory,,,
serviced,servisováno,,,
sessions,sezení,,,
setbacks,neúspechy,,,
settle,usadit,,,1
setup,založit,,,
seven,sedm,,,1
shabby,ošunt?lý,,,
shack,chatrc,,,
shape,tvar,,,
shaped,tvarovaná,,,
Shaving,Holení,,,
shelter,prístreší,,,
Shenieka,Shenieka,,,
shift,posun,,,
shipment,náklad,,,1
Shipped,Odesláno,,,
shortage,nedostatek,,,
shortcomings,nedostatky,,,
shorten,zkrátit,,,
shorts,šortky,,,
short-term,krátkodobý,,,
showcase,vitrína,,,1
showroom,showroom,,,
shut,zavrít,,,
shutters,okenice,,,
Sighted,Vidoucí,,,
signed,podepsaný,,,1
significant,významný,,,
significantly,výrazne,,,
signs,znamení,,,2
simplify.,zjednodušit.,,,
simulate,simulovat,,,
sing,zpívat,,,
Singapore,Singapur,,,
single-use,jedno použití,,,1
sister,sestra,,,
sites,stránky,,,
situated,nachází,,,
situation,situace,,,
size,velikost,,,3
skeptical,skeptický,,,
skier,lyžar,,,
skills,dovednosti,,,3
sky,nebe,,,1
sleep,spát,,,
slender,štíhlý,,,
smallest,nejmenší,,,
Smalls-Voluntad,Smalls-Voluntad,,,
smell,vune,,,
smiles,úsm?vy,,,
smoking,kou?ení,,,
snowmelt,tání sn?hu,,,
Societies,Spole?nosti,,,
sofa,gauc,,,
solar,slunecní,,,3
solid,pevný,,,
solutions,rešení,,,8
solver,rešitel,,,
somebody,nekdo,,,
sometimes,n?kdy,,,2
songs,písne,,,4
sortation,t?íd?ní,,,
sous,sous,,,
south,jižní,,,1
Spain,Španelsko,,,
sparked,zajiskrilo,,,
speaker,mluvcí,,,
speaking,mluvení,,,
specialist,specialista,,,1
specific,charakteristický,,,
speed,Rychlost,,,
spice,korení,,,
spoken,mluvený,,,
Sporting,Sportovní,,,
SQL,SQL,,,
square,námestí,,,1
square-foot,ctverecní stopa,,,
standards,standardy,,,2
standby,pohotovostní,,,
stands,stojí,,,1
stark,strohý,,,
starting,zacínající,,,
startup,spuštení,,,3
state,Stát,,,
steady,stabilní,,,
stick,lepit,,,
still,ješte porád,,,6
Stix,Stix,,,
stock,skladem,,,
storage,úložný prostor,,,1
story,príbeh,,,1
storytellers,vypraveci,,,1
storytelling,vyprávení príbehu,,,2
strategies,strategie,,,
strategy,strategie,,,3
strengthening,posilování,,,
strengths,silné stránky,,,
stressed,zduraznil,,,
strike,stávkovat,,,
stroke,mrtvice,,,
strong,silný,,,
stronger,siln?jší,,,
struck,uderil,,,
students,studentu,,,3
study,studie,,,
stunningly,úžasn?,,,
submitting,p?edkládání,,,
Sub-Zero,Pod nulou,,,
suggests,navrhuje,,,
suicide,sebevražda,,,
summarizes,shrnuje,,,
summers,léta,,,
superpower,supervelmoc,,,
Supervisor,Dozorce,,,
suppliers,dodavatel?,,,5
supplies,zásoby,,,
supply,zásobování,,,6
sure,jist?,,,2
surgery,chirurgická operace,,,
surrounding,okolní,,,1
survival,prežití,,,
suspension,suspenze,,,
Sustainability,Udržitelnost,,,8
sustaining,udržující,,,
Swindon,Swindon,,,
switching,p?epínání,,,
Switzerland,Švýcarsko,,,
Syria,Sýrie,,,
system,Systém,,,2
seeks,hledá,,,2
speech,mluvený projev,,,1
stages,Etapa,,,5
Seigel,Seigel,,,1
selected,vybraný,,,1
Sirisena,Sirisena,,,1
submission,podání,,,1
supported,Podporováno,,,2
States,stát?,,,1
structurally,konstruk?n?,,,1
Six,šest,,,7
stars,hv?zdy,,,3
singers,zp?váci,,,1
subsequent,následující,,,1
Sixties,Šedesátá léta,,,1
Seventies,Sedmdesátá léta,,,1
sisterhood,sesterstvo,,,1
studio,studio,,,1
Suki,Suki,,,1
Sebastian,Sebastian,,,1
sneaking,plížení,,,2
Sunset,Západ slunce,,,1
Strip,Pás,,,1
scenes,scény,,,2
Stevie,Stevie,,,1
stupid,hloupý,,,1
sparkly,jisk?ivý,,,1
singular,jednotné ?íslo,,,1
Springsteen,Springsteen,,,1
Starsailor,Starsailor,,,1
spellbound,o?arovaný,,,1
Sociopath,sociopat,,,1
sang,zpíval,,,1
streaks,pruhy,,,1
Santa,Santa,,,16
Southern,Jižní,,,3
species,druh,,,4
staffers,personál,,,2
spots,skvrny,,,3
spread,ší?ení,,,1
supposed,domn?lý,,,2
station,stanice,,,1
serverless,bez serveru,,,1
Simple,jednoduchý,,,5
SQS,SQS,,,1
SageMaker,SageMaker,,,1
scour,?istit,,,1
spotted,puntíkovaný,,,2
Scott,Scott,,,1
sweeping,zametání,,,1
struggle,boj,,,1
stopping,zastavení,,,1
sending,odesílání,,,2
sells,prodává,,,1
strictly,p?ísn?,,,1
solicited,vyžádaný,,,1
Sues,Žaluje,,,1
style,styl,,,1
seasons,ro?ní období,,,2
snowy,zasn?žený,,,1
sharp,ostrý,,,1
SVP,SVP,,,1
sorter,t?ídi?,,,1
showed,ukázal,,,1
sweater,svetr,,,1
Shipping,Lodní doprava,,,1
slots,sloty,,,1
shirt,košile,,,1
spans,rozp?tí,,,1
shelves,police,,,1
scoping,rozsah,,,1
staircase,schodišt?,,,1
surprised,p?ekvapený,,,1
statues,sochy,,,1
starring,v hlavních rolích,,,1
