,,,,
out,ven,,,31
only,pouze,,,19
option,volba,,,8
onboard,na palub?,,,5
own,vlastní,,,10
on-air,naživo,,,5
odor,zápach,,,4
original,originál,,,4
Omni,Omni,,,4
opportunity,p?íležitost,,,11
open-source,open-source,,,3
on-screen,na obrazovce,,,3
online,online,,,4
older,starší,,,2
opportunities,názory,,,3
Orton,Orton,,,2
often,?asto,,,4
obsessed,posedlý,,,2
outstanding,vynikající,,,1
offers,nabídky,,,9
others,ostatní,,,1
Orleans,Orleans,,,2
orange,oranžový,,,2
organized,organizovaný,,,1
one,jeden,,,14
owners,vlastník?,,,2
otherwise,v opa?ném p?ípad?,,,1
obligated,povinný,,,
obligation,povinnost,,,
obstacles,p?ekážky,,,
occasion,p?íležitost,,,
occupy,okupovat,,,
off,vypnuto,,,11
offering,nabídka,,,
office,kancelá?,,,12
Officer,D?stojník,,,
officials,ú?edníci,,,
oil,olej,,,
Once,Jednou,,,3
one-eighteenth,jedna osmnáctina,,,
ongoing,pokra?ující,,,
onscreen,na obrazovce,,,
on-the-ground,na zemi,,,
opened,otev?el,,,1
opening,otevírací,,,
operate,fungovat,,,3
Operating,Provozní,,,1
operation,úkon,,,
operational,provozní,,,
optimization,optimalizace,,,
order-fulfillment,vy?ízení objednávky,,,
orders,objednávky,,,1
organisations,organizací,,,
organization,organizace,,,2
originated,vznikl,,,
ours,naše,,,
outcome,výsledek,,,1
outlining,obrysy,,,
out-of-the-box,vybalený z krabice,,,
output,výstup,,,
outside,mimo,,,3
oven,trouba,,,
overcome,p?ekonat,,,
oversees,dohlíží,,,
ownership,vlastnictví,,,
organizational,organiza?ní,,,1
overlooked,p?ehlížen,,,1
oversized,nadrozm?rné,,,5
ode,óda,,,1
Offspring,Potomek,,,3
obviously,o?ividn?,,,1
Ocean,Oceán,,,1
onto,na,,,1
occasionally,ob?as,,,1
outlined,nastín?no,,,1
owned,ve vlastnictví,,,2
operated,provozován,,,1
operators,operátory,,,1
ordinary,oby?ejný,,,1
offered,nabídl,,,1
Orson,Orson,,,1
organic,organické,,,3
optimized,optimalizované,,,1
,,,,1
