,,,,
do,delat,,,21
develop,rozvíjet,,,14
docuseries,dokumenty,,,10
device,p?ístroj,,,9
directly,p?ímo,,,12
day,den,,,15
Director,?editel,,,7
disabilities,postižení,,,6
desk,lavice,,,6
does,d?lá,,,10
discussion,diskuse,,,5
dope,droga,,,5
demanding,náro?ný,,,5
distribution,rozd?lení,,,4
died,zem?el,,,3
decade,desetiletí,,,3
definition,definice,,,3
Descriptions,Popisy,,,3
didn't,ne,,,3
Due,Z duvodu,,,4
deaf,Hluchý,,,3
dedication,ob?tavost,,,3
describe,popsat,,,4
degraded,degradován,,,3
dog,Pes,,,3
Dashboard,P?ístrojová deska,,,3
defense,obrana,,,2
digital,digitální,,,3
distributed,distribuováno,,,2
donations,dary,,,2
dropship,dropship,,,2
David,Davide,,,3
Daye,Daye,,,2
during,behem,,,5
development,rozvoj,,,4
Disney,Disney,,,1
driver's,?idi?i,,,1
dedicated,oddaný,,,3
documents,dokumenty,,,1
drivers,?idi?i,,,1
deviate,odchýlit se,,,1
demand,poptávka,,,1
despite,i pres,,,2
different,odlišný,,,6
dropping,shazování,,,1
daughter,dcera,,,1
day-to-day,ze dne na den,,,1
duties,povinnosti,,,1
detailed,detailní,,,1
dollars,dolar?,,,1
depending,v závislosti,,,2
daddy,táta,,,
daily,denne,,,2
damage,poškození,,,1
dark-haired,s tmavými vlasy,,,
data,data,,,5
dataset,datový soubor,,,
date,datum,,,
dating,chodit s nekým,,,
Davos,Davos,,,
deal,obchod,,,1
dealing,jednání,,,
death,smrt,,,
decisions,rozhodnutí,,,1
decrease,pokles,,,
deemed,považováno,,,
deep,hluboký,,,1
DeepRacer,DeepRacer,,,
defects,vady,,,
define,definovat,,,
definitely,rozhodn?,,,1
degree,stupe?,,,2
delighted,pot?šen,,,
delightful,rozkošný,,,
deliver,dodat,,,2
delivering,doru?ování,,,3
delivery,dodávka,,,2
demo,demo,,,
demographic,demografický,,,
departed,odešel,,,
Derived,Odvozený,,,
design,design,,,2
designed,navržený,,,3
designer,návrhá?,,,
destroys,ni?í,,,
detail,detail,,,8
details:,podrobnosti,,,
detection,detekce,,,1
determination,odhodlání,,,
determined,odhodlaný,,,
devastating,znicující,,,
devastation,devastace,,,
devasting,znicující,,,
developing,rozvíjející se,,,2
DGNB,DGNB,,,
DHL,DHL,,,
diagnosed,diagnostikována,,,
dialect,dialekt,,,
dialogue,dialog,,,
diapers,pleny,,,
diary,deník,,,
differ,lišit,,,
difference,rozdíl,,,
differentiated,diferencované,,,
differentiates,odlišuje,,,
differently,jinak,,,
direction,smer,,,
direct-to-consumer,p?ímo ke spot?ebiteli,,,
disability,postižení,,,
disabled,zakázáno,,,
disagree,nesouhlasit,,,
disaster,katastrofa,,,
disaster-relief,pomoc pri katastrofe,,,
disconfirm,nepotvrdit,,,
discovered,objevil,,,1
Discovery,Objev,,,
discussing,diskutující,,,
disease,nemoc,,,1
display,Zobrazit,,,2
distance,vzdálenost,,,
distribute,distribuovat,,,
diverse,ruznorodé,,,4
doing,delá,,,2
dollhouse,domecek pro panenky,,,
donated,daroval,,,
donating,darování,,,
done,Hotovo,,,
don't,ne,,,
door,dve?e,,,
doorbell,domovní zvonek,,,
dot,tecka,,,
doubt,pochybovat,,,
download,stažení,,,
downtime,prostoje,,,
downtown,v centru mesta,,,
Dr.,Dr.,,,
dream,sen,,,1
dressed,oblecený,,,
drinking,pití,,,
drive,rídit,,,2
driving,rízení,,,
drop,pokles,,,
dropshipper,dropshipper,,,
dropshipping,dropshipping,,,
dust,prach,,,
diversity,rozmanitost,,,4
Daisy,Sedmikráska,,,7
drama,drama,,,2
drugs,drogy,,,1
damaged,poškozené,,,1
Dunne,Dunne,,,3
Doors,dve?e,,,2
double,dvojnásobek,,,1
dance,tanec,,,1
dye,barvivo,,,1
delicate,delikátní,,,1
driven,?ízený,,,1
developer,vývojá?,,,1
descendants,potomci,,,1
difficult,obtížný,,,1
drained,vy?erpaný,,,2
distinguish,rozlišovat,,,1
deer,Jelen,,,1
deployed,nasazeno,,,1
drone,trubec,,,1
Diego,Diego,,,1
deployments,nasazení,,,1
defendants,obžalovaných,,,5
deceive,oklamat,,,1
dazzling,oslnivý,,,1
department,odd?lení,,,2
dreamed,snil,,,1
Dana,Dana,,,7
diploma,diplom,,,2
demonstrated,prokázáno,,,1
dropped,upustil,,,1
delivered,doru?eno,,,1
doorman,vrátný,,,1
destination,destinace,,,1
dimensions,rozm?ry,,,1
described,popsaný,,,7
deck,paluba,,,1
decorating,zdobení,,,1
doggos,psi,,,1
depicting,zobrazující,,,1
downstairs,p?ízemí,,,1
decarbonizing,dekarbonizace,,,1
discrimination,diskriminace,,,1
distressed,utrápený,,,1
disadvantaged,znevýhodn?né,,,1
