,,,,
talent,talent,,,45
team,tým,,,37
Thursday,?tvrtek,,,26
they,ony,,,40
these,tyto,,,26
this,tento,,,29
talented,talentovaný,,,10
television,televize,,,9
than,než,,,30
those,tech,,,10
time,cas,,,16
thousands,tisíce,,,8
take,vzít,,,17
technology,technologie,,,13
technologies,technologií,,,8
through,pres,,,22
two,dva,,,10
tools,nástroje,,,9
Tara,Tara,,,5
think,myslet si,,,9
throughout,po celou dobu,,,7
title,titul,,,5
teamwork,týmová práce,,,5
Tony,Tony,,,5
Thompson,Thompson,,,5
true-crime,opravdový zlo?in,,,5
Twitter,Cvrlikání,,,5
then,pak,,,11
their,jejich,,,39
taught,u?il,,,3
technical,technický,,,6
today,dnes,,,3
told,?ekl,,,4
typically,typicky,,,5
trying,snaží,,,3
talked,mluvil,,,3
tested,testováno,,,3
technology],technika],,,3
teething,pro?ezávání zoubk?,,,3
that's,to je,,,2
Tomas,Tomáš,,,2
TVs,televizory,,,2
There,Tam,,,12
traffic,provoz,,,2
things,veci,,,6
they're,jsou,,,1
took,vzal,,,2
trends,trendy,,,1
tribute,hold,,,1
thought,myslel,,,3
turned,oto?il,,,1
thinker,myslitel,,,1
thriving,prosperující,,,1
textured,texturované,,,1
twists,zvraty,,,1
tell,sdelit,,,2
tons,tun,,,3
twice,dvakrát,,,2
traditional,tradi?ní,,,4
toys,hra?ka,,,1
tables,tabulky,,,
tablets,tablety,,,
tag,štítek,,,
taken,p?ijato,,,2
talk,mluvit,,,
target,cílová,,,
Targets,Cíle,,,1
task,úkol,,,
"tasks,","úkoly,",,,
teaching,výuka,,,
"technology,","technika,",,,
tech-savvy,technicky zdatný,,,
telling,vypráv?ní,,,
tenacious,houževnatý,,,
tent,stan,,,
terms,podmínky,,,1
terrible,hrozný,,,
testing,testování,,,
tests,testy,,,
textures,textury,,,
thank,pod?kovat,,,
them,jim,,,9
themselves,oni sami,,,2
therefore,proto,,,
thinking,myslící,,,2
third-party,t?etí strana,,,
thoroughly,d?kladn?,,,
thoughtful,ohleduplný,,,
three,t?i,,,7
Thus,Tím pádem,,,
Timber,D?evo,,,
timely,v?asné,,,
timing,na?asování,,,
tips,tipy,,,
together,spolu,,,5
toll,mýtné,,,
tomorrow.,zítra.,,,
too,také,,,3
Tool,Nástroj,,,
topline,horní linie,,,
topping,poleva,,,
total,celkový,,,3
touched,dotknutý,,,
tour,prohlídka,,,2
toward,k,,,2
Tracey,Tracey,,,
track,dráha,,,1
trademarks.,ochranné známky.,,,
trade-off,kompromis,,,
tragedy.,tragédie.,,,
trained,vyškolený,,,
training,výcvik,,,1
traits,rysy,,,
transformed,premenena,,,
transparency,pruhlednost,,,
transportation,p?eprava,,,
travel.,cestovat.,,,
traveled,cestoval,,,
treated,lé?eni,,,
treatment,lé?ba,,,
trending,trendy,,,
trilogy,trilogie,,,
trip,výlet,,,
Trixie,Trixie,,,
truck,nákladní auto,,,
truckloads,nákladních aut,,,
trust,duvera,,,
trust.,d?v?ra.,,,
trusting,d?v??ivý,,,
trustworthy,d?v?ryhodný,,,1
try,snažit se,,,1
Tuesday,Úterý,,,
Turkey,krocan,,,
Turkish,ture?tina,,,
turn,otocit se,,,
tutorial,tutoriál,,,
two-time,dvakrát,,,
Two-Way,Obousm?rný,,,
type,typ,,,
typical,typický,,,
translation,p?eklad,,,1
Taylor,Taylor,,,2
teen,dospívající,,,1
talking,mluvící,,,2
tape,páska,,,1
trailer,upoutávka,,,1
trap,past,,,3
turning,otá?ení,,,1
TNC,TNC,,,8
tourist,turista,,,1
threaten,vyhrožovat,,,1
techniques,techniky,,,1
trees,stromy,,,1
terrain,terén,,,2
treacherous,zrádný,,,1
triggered,spušt?no,,,2
Trusted,D?v?ryhodný,,,2
taking,brát,,,2
targeting,cílení,,,1
teaser,upoutávka,,,1
tongue,jazyk,,,1
tuition,výuka,,,1
tiring,únavné,,,1
technician,technik,,,1
thermostats,termostaty,,,3
Tennessee,Tennessee,,,1
tirelessly,neúnavn?,,,1
textiles,textilie,,,1
toughest,nejtvrdší,,,3
