,,,,
Prime,primární,,,44
production,Výroba,,,19
producer,výrobce,,,11
panel,panel,,,12
past,minulost,,,10
Principle,Zásada,,,10
problem,problém,,,7
packets,pakety,,,6
product,produkt,,,10
parent,rodic,,,6
peace,mír,,,5
program,program,,,16
position,pozice,,,5
pursue,pronásledovat,,,6
picks,výb?ry,,,7
produced,vyrobeno,,,7
pregame,p?edehra,,,5
pointing,ukazování,,,5
profile,profil,,,3
pioneer,pr?kopník,,,4
programmer,programátor,,,3
poor,chudý,,,3
proud,hrdý,,,4
petting,mazlení,,,3
processor,procesor,,,3
pair,pár,,,4
pairing,párování,,,3
Pickett,Pickett,,,2
Peter,Petr,,,2
pay,platit,,,3
popular,oblíbený,,,3
paying,platící,,,2
PBS,PBS,,,1
picking,vybírání,,,1
podcasts,podcasty,,,1
professor,profesor,,,1
pushing,tla?ení,,,1
participating,ú?astnící se,,,2
possible,možný,,,2
pivot,pivot,,,1
performance,výkon,,,3
periods,období,,,1
pictures,obrázky,,,1
projects,projekty,,,2
protected,chránený,,,1
protection,ochrana,,,2
parenting,rodi?ovství,,,1
pitch,h?išt?,,,2
platforms,platformy,,,1
primary,hlavní,,,2
prototype,prototyp,,,1
posted,vyslán,,,1
payback,návratnost,,,1
package,balík,,,13
packaging,obal,,,7
page,strana,,,1
Pallets,Palety,,,
panorama,panoráma,,,
park,park,,,
particularly,zejména,,,1
partners,partnery,,,9
partnership,partnerství,,,13
parts,díly,,,
passion,váše?,,,2
passionate,vášnivý,,,
pattern,vzor,,,
payment,Zp?sob platby,,,
pay-per-pick,platba za výb?r,,,
peak,vrchol,,,
people's,lidí,,,
percent,procent,,,
perfect,perfektní,,,1
performing,vystupování,,,
perfume,parfém,,,
perpetuated,zv??n?ný,,,
person,osoba,,,1
personal,osobní,,,
personalized,personalizované,,,
perspectives,perspektivy,,,
phenomenon,jev,,,
phone,telefon,,,4
photos,fotky,,,
physical,fyzický,,,
picked,vybral,,,1
pillar,pilí?,,,
place,místo,,,2
planet,planeta,,,1
planning,plánování,,,1
plantation,plantáž,,,
planting,výsadba,,,
Plastic,Plastický,,,7
plate,talír,,,
PLC,PLC,,,
Please,Prosím,,,
plethora,p?ehršel,,,
points,body,,,
Poland,Polsko,,,
Ponnuru,Ponnuru,,,
popcorn,popcorn,,,
port,p?ístav,,,
Portable,P?enosný,,,
portfolio,portfolia,,,
positive,pozitivní,,,5
possibilities,možnosti,,,
possibly,možná,,,1
post-apocalyptic,postapokalyptické,,,
PostgreSQL,PostgreSQL,,,
potential,potenciál,,,4
powerful,silný,,,
powering,napájení,,,
practical,praktický,,,
practice,praxe,,,1
pre-cool,p?edchladit,,,
predictable,p?edvídatelný,,,
preparation,p?íprava,,,1
Preparedness,P?ipravenost,,,
preparing,p?ipravuje se,,,
presenting,prezentovat,,,
presents,p?edstavuje,,,
preserved,zachovalé,,,
preset,p?ednastavení,,,
president,prezident,,,3
pretty,p?kný,,,
prevention,prevence,,,1
pricing,stanovení cen,,,
priority,p?ednost,,,
Prison,V?zení,,,
privacy,soukromí,,,
proceed,pokra?ovat,,,
processes,procesy,,,
produce,vyrobit,,,2
productive,výrobní,,,
productivity,produktivita,,,
professional,profesionální,,,
programme,program,,,
projections,projekce,,,
prominent,prominentní,,,
promote,podporovat,,,3
promotion,povýšení,,,1
proof,d?kaz,,,1
prophecy,proroctví,,,
proprietary,proprietární,,,
protecting,chránící,,,1
provide,poskytnout,,,9
provided,pokud,,,2
providing,poskytování,,,2
provinces,provincií,,,
Psychology,Psychologie,,,
public,ve?ejnost,,,1
published,zve?ejn?no,,,
pushed,tla?il,,,1
putting,uvedení,,,
pad,podložka,,,1
paper,papír,,,1
placed,umíst?na,,,1
previous,p?edchozí,,,2
publishers,vydavatel?,,,3
poetry,Poezie,,,8
Poets,Básníci,,,5
Presses,Lisy,,,1
PEN,PERO,,,2
personally,osobn?,,,1
purpose,ú?el,,,1
presence,p?ítomnost,,,1
premiering,premiéra,,,1
play,hrát si,,,2
playing,hraní,,,3
Pittsburgh,Pittsburgh,,,1
Papas,Papáš,,,1
plenty,spousta,,,1
playlist,seznam skladeb,,,1
premieres,premiéra,,,2
potentially,potenciáln?,,,2
predatory,dravý,,,1
preventing,p?edcházení,,,1
prolific,plodný,,,1
pregnant,t?hotná,,,1
pigs,prasata,,,1
preservationists,památká?i,,,1
presented,prezentovány,,,1
precise,p?esný,,,1
Pacific,Pacifik,,,1
processing,zpracovává se,,,1
pipeline,potrubí,,,2
predictions,p?edpov?di,,,1
Puerto,Puerto,,,1
Palmyra,Palma,,,1
prohibited,zakázáno,,,1
private,soukromé,,,1
plus,Plus,,,2
purchased,zakoupeno,,,1
prohibits,zakazuje,,,1
Profit,Zisk,,,1
participants,ú?astník?,,,2
participated,ú?astnili,,,1
prepaid,zaplaceno,,,1
proficiency,odbornost,,,1
pandemic,pandemický,,,2
progress,pokrok,,,3
persuaded,p?esv?d?il,,,1
promoted,povýšen,,,1
purchases,nákupy,,,1
pickup,vyzvednout,,,4
pounds,liber,,,1
plaid,p?ehoz,,,1
printed,vytišt?né,,,1
peek,nahlédnout,,,1
property,vlastnictví,,,1
Pledge,Slib,,,11
plastics,plasty,,,4
path,cesta,,,1
petroleum,ropa,,,1
pollution,zne?išt?ní,,,1
pharmacy,LÉKÁRNA,,,1
principal,?editel školy,,,1
prioritize,up?ednostnit,,,1
pioneering,pr?kopnický,,,1
persist,vytrvat,,,1
percentage,procento,,,1
