,,,,
have,mít,,,83
her,její,,,50
has,má,,,53
how,jak,,,33
helped,pomohl,,,15
Hussein,Hussein,,,10
help,pomoc,,,27
had,m?l,,,20
high,vysoký,,,15
holding,podíl,,,6
heard,slyšeli,,,7
having,mít,,,6
here,zde,,,8
hire,pronájem,,,5
hold,držet,,,8
hired,najal,,,5
Harvard,Harvard,,,5
Hansen,Hansen,,,4
helpful,ochotný,,,4
home,domov,,,7
himself,sám,,,3
history,D?jiny,,,10
hurting,bolí,,,2
helping,pomáhání,,,6
him,mu,,,4
holder,držák,,,1
haircare,pé?e o vlasy,,,1
herself,sebe,,,2
hours,hodin,,,4
hurdles,p?ekážky,,,1
high-quality,vysoká kvalita,,,1
hesitant,váhavý,,,1
hadn't,nem?l,,,
half,polovina,,,1
halve,rozp?lit,,,
handle,Rukoje?,,,
hands,ruce,,,
happening,happening,,,
happiness,št?stí,,,
happy,š?astný,,,1
hardware,Hardware,,,
Hatay,Hatay,,,
headcount,po?et zam?stnanc?,,,
heading,nadpis,,,1
headquarters,hlavní sídlo,,,1
headshot,st?ela do hlavy,,,
headwinds,protiv?tru,,,
health,zdraví,,,3
healthcare,zdravotní pé?e,,,
heaters,oh?íva?e,,,
Heavy,T?žký,,,
Heights,Výšky,,,
held,držený,,,1
hello,Ahoj,,,
Henry,Jind?ich,,,
herb,bylina,,,
here's,tady je,,,1
hero,hrdina,,,
higher,vyšší,,,2
Highest,Nejvyšší,,,
highly,vysoce,,,
himalayan,himálajský,,,
historian,historik,,,
homedecor,domovní dekorace,,,
hometown,rodné m?sto,,,
honesty,poctivost,,,
honored,poct?n,,,1
honoring,ctít,,,
honors,vyznamenání,,,
hope,nad?je,,,1
horseback,ko?ský h?bet,,,
Horsetail,P?esli?ka rolní,,,
hosted,hostované,,,
hotel,hotel,,,
house,D?m,,,
Hub,Rozbo?ova?,,,
huge,obrovský,,,1
Hugo,Hugo,,,
human,?lov?k,,,4
humanitarian,humanitární,,,
humble,poko?it,,,
humbled,poko?en,,,
Humidifier,Zvlh?ova?,,,
hunch,Tušení,,,
hundreds,stovky,,,
Hurry,Posp?š si,,,
husband,manžel,,,
hygiene,hygiena,,,
Houston,Houston,,,1
Hasanthika,Hasanthika,,,1
Hurston,Hurst,,,1
heady,opojný,,,1
Harrison,Harrison,,,1
holes,díry,,,1
hit,ude?il,,,2
Honestly,Up?ímn? ?e?eno,,,1
household,Domácnost,,,1
hide,skrýt,,,1
historically,historický,,,1
havoc,spouš?,,,1
Harbor,P?ístav,,,1
hunters,lovci,,,1
hike,túra,,,1
hunting,lov,,,1
Hawaii,Havaj,,,1
Hall,hala,,,1
hourly,hodinov?,,,2
hoping,doufat,,,1
happens,se d?je,,,3
However,nicmén?,,,2
Hitchcock,Hitchcock,,,2
Hollywood,Hollywood,,,4
Heathcliff,Heathcliff,,,1
hallways,chodby,,,1
holiday,Dovolená,,,1
highlighting,zvýrazn?ní,,,2
HERproject,HERprojekt,,,3
Harren,Harren,,,2
,,,,2
