,,,,
Loik,Loik,,,10
Leadership,Vedení lidí,,,13
latest,nejnov?jší,,,10
lot,hodn?,,,12
learn,U?it se,,,13
long,dlouho,,,10
larger,v?tší,,,6
loan,p?j?ka,,,5
Lack,Nedostatek,,,5
life,život,,,10
looked,podíval se,,,6
looks,vzhled,,,5
love,milovat,,,6
lucky,š?astný,,,6
Little,Málo,,,6
living,živobytí,,,6
last,poslední,,,4
learning,u?ení se,,,7
left,"vlevo, odjet",,,5
lives,žije,,,3
losing,prohrává,,,4
leading,vedoucí,,,5
line,?ára,,,3
leave,odejít,,,2
less.,mén?.,,,2
leverage,vliv,,,2
lights,sv?tla,,,3
Lopez,Lopez,,,2
learned,nau?il se,,,3
LEGO,LEGO,,,1
leaning,naklán?jící se,,,1
laptop,notebook,,,2
later,pozd?ji,,,1
launched,spušt?na,,,2
least,nejmén?,,,2
lenders,v??itelé,,,1
leveraged,pákový efekt,,,1
lump-sum,paušální ?ástka,,,1
long-term,dlouhodobý,,,4
labeled,ozna?ené,,,
labour,práce,,,
Lake,jezero,,,1
landfill,skládka,,,
language,Jazyk,,,1
large,velký,,,2
largest,nejv?tší,,,3
laugh,smát se,,,
lavender,levandule,,,
lawyer,právník,,,
lead,vést,,,2
leaders,v?dci,,,
Lean,Opírat se,,,
"learn,","U?it se,",,,
leather,k?že,,,
ledlighting,led osv?tlení,,,
ledlights,led sv?tla,,,
legal,právní,,,6
Leila,Leila,,,
lens,objektiv,,,
Leslie,Leslie,,,
less,mén?,,,3
lesser,menší,,,
Let's,Poj?me,,,
letter,dopis,,,
levels,úrovn?,,,
leveraging,pákový efekt,,,
life.,život.,,,
lifetime,život,,,
"like,","jako,",,,
likely,pravd?podobn?,,,2
likes,líbí,,,
Lillie,Lillie,,,
limited,omezený,,,8
limits,limity,,,
liquor,alkohol,,,
listener,poslucha?,,,
literally,doslova,,,
load,zatížení,,,
loaded,nabito,,,
Locals,Místní obyvatelé,,,
located,nachází se,,,1
location,umíst?ní,,,10
logistical,logistické,,,
logistics,logistiky,,,1
logos,loga,,,
lonely,osam?lý,,,
lose,prohrát,,,
Louis,Louis,,,
Lowcountry,Lowcountry,,,
lower,dolní,,,1
lowering,snížení,,,
Lucas,Lucas,,,
Literary,Literární,,,27
landscape,krajina,,,1
listened,poslouchal,,,5
looking,hledá,,,3
Linda,Linda,,,1
loved,miloval,,,1
lyric,lyrika,,,1
largeness,velikost,,,1
liked,líbilo,,,1
lies,lži,,,1
leaf,list,,,1
lag,zpožd?ní,,,1
landed,p?istál,,,1
linked,propojeno,,,1
largely,p?evážn?,,,1
Lambda,lambda,,,1
logically,logicky,,,1
lawsuits,soudní spor,,,3
leaving,odcházející,,,1
launching,spoušt?ní,,,2
laid,položil,,,1
lacked,chyb?l,,,1
Loss,Ztráta,,,1
Locker,Sk?í?ka,,,29
Lucille,Lucille,,,5
landmarks,orienta?ní body,,,1
Legend,Legenda,,,1
lattes,latté,,,1
lobby,lobby,,,1
Lane,pruh,,,1
lovers,milenci,,,1
Luna,Luna,,,4
Labs,Laborato?e,,,2
,,,,1
